버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,시도별,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,인구,인구밀도
9,3,7,54,19,0.35185185185185186,강원도,32061,29392,18997,16811,1521,90
100,50,96,317,246,0.7760252365930599,경기도,36133,38466,20482,17399,12786,1255
24,4,29,86,57,0.6627906976744186,경상남도,33690,32140,18939,16426,3339,317
25,4,15,68,44,0.6470588235294118,경상북도,40272,34873,18611,16217,2675,141
15,3,10,42,28,0.6666666666666666,광주광역시,27548,30964,20532,18231,1495,2984
20,10,25,66,55,0.8333333333333334,대구광역시,23744,27798,19210,17850,2458,2782
14,5,13,51,32,0.6274509803921569,대전광역시,28364,31548,20498,18025,1528,2832
20,9,41,82,70,0.8536585365853658,부산광역시,27409,29388,19680,18030,3424,4447
111,73,96,181,280,1.5469613259668509,서울특별시,44865,49121,23440,21891,9766,16136
0,1,0,10,1,0.1,세종특별자치시,35826,36983,19789,16762,266,571
9,2,10,31,21,0.6774193548387096,울산광역시,65352,54969,22550,18482,1159,1092
23,11,18,74,52,0.7027027027027027,인천광역시,30425,32571,19332,16451,2924,2750
7,2,8,51,17,0.3333333333333333,전라남도,43323,35532,18711,16104,1795,146
13,2,11,53,26,0.49056603773584906,전라북도,28740,28260,18725,16022,1829,227
1,1,8,14,10,0.7142857142857143,제주특별자치도,30720,30834,18734,16953,635,343
9,5,10,67,24,0.3582089552238806,충청남도,52402,40953,18955,16037,2153,262
10,2,8,57,20,0.3508771929824561,충청북도,42653,34484,18823,15802,1609,217
